farm_id,farm_name,owner_name,location_state,location_county,total_acres,latitude,longitude,farm_type,established_year,certification_organic,primary_crops,created_timestamp,updated_timestamp
65bf66bf-33e2-4e15-a8e8-2364a2c26712,Considine LLC,Roger Dickinson DVM,MAHARASTRA,et52,23710,146.632385,4240.4636379,arable,2018,false,"List(corn, wheat, wheat)",2029-02-23 00:11:33-03:00,2029-05-12 23:01:45+11:00
201c3d4c-c94d-4b0b-ad0c-6fb4bf890ac3,Abbott-Volkman,Sammy Jenkins DVM,KERALA,Jv22,2201,792.9569995,2726.7654438,hobby,1927,true,List(corn),2027-02-18 09:34:42+07:00,2020-07-04 23:46:32+11:00
87ca466c-f760-4af2-816c-515f82b00803,Stiedemann and Sons,Kym Gerlach,ASSAM,xH51,26090,645.1103051,3079.9805250,arable,1906,false,"List(soybean, wheat, soybean, corn, soybean)",2012-08-23 19:30:03-04:00,2027-05-29 04:53:09+08:00
fcf0a8d2-8fae-46e7-88cc-b1eb37935ad2,McClure LLC,Errol Zboncak, GOA,LJ88,10741,383.2952974,671.5967505,hobby,1922,false,"List(corn, wheat)",2002-08-31 19:19:48+11:00,2025-12-24 16:16:45+03:00
55fe5ca6-bf5f-4687-98cf-a38d4361dae0,"Hamill, Goodwin and Wyman",Chasidy Sauer,KERALA,wA89,15045,838.3337748,9721.8088227,dairy,1972,true,"List(wheat, soybean, soybean, corn, wheat)",2009-10-31 17:38:48+09:00,2010-07-08 09:39:36+08:00
7fe22955-2ba0-4335-9e80-98c6d4c85503,"Ondricka, Tillman and Botsford",Bruno Marks,ASSAM,yN20,6300,141.1488039,9133.6286214,hobby,1934,true,List(wheat),2019-12-24 07:25:27-11:00,2006-11-04 19:39:33-03:00
8d12c0b6-6768-42e7-8ee3-b93e864e98d8,Goyette Inc,Giselle Legros V,MAHARASTRA,Jt60,31664,125.4727041,9867.9311576,dairy,1967,false,"List(wheat, wheat, corn, soybean, corn)",2000-02-19 18:49:41-09:00,2021-07-20 21:07:42-05:00
65ca17b6-15b3-42c3-a0c0-e06f464bac8f,"Cartwright, Hermann and Kertzmann",Mrs. Ashley Pollich,DELHI,IE48,14327,955.5539224,9133.6453745,dairy,1967,false,"List(wheat, corn, rice)",2024-06-14 09:27:54-11:00,2010-07-04 10:31:58-10:00
5478753c-3868-47ea-9e09-abecb2f9eb43,Schroeder and Sons,Particia Wiegand,MAHARASTRA,zn12,27593,724.9368538,773.19520,arable,1961,false,"List(wheat, rice, soybean)",2022-11-08 03:31:46-02:00,2019-11-25 11:00:41-12:00
70e8cb4e-4b0c-4444-9a87-798a2a03cd16,"Abshire, Kirlin and Grady",Ms. Roselee Leuschke,KERALA,Qt54,19532,586.3739964,8958.547175,arable,1973,false,"List(rice, corn, wheat, soybean)",2009-03-10 11:23:00Z,2020-07-29 07:01:40-11:00
4c163f04-9d0b-415d-a781-c65df77b2707,Hansen LLC,Ms. Samuel Schinner,BIHAR,aK62,10141,707.7623323,6329.2812779,dairy,1955,true,List(corn),2025-07-10 05:44:09+05:00,2010-02-03 12:19:35-12:00
1577a92d-3452-409a-aabe-3205d0648d5a,"Sanford, Hessel and Swift",Olen Kuphal,ASSAM,RJ46,31207,339.8773023,2195.3139418,hobby,1928,true,"List(wheat, wheat)",2021-04-15 23:11:48-03:00,2016-05-11 21:14:52+08:00
7cbdbd62-2981-4a01-8b02-0066109e4f94,Bosco-Muller,Mrs. Shawnta Conroy,KERALA,dI10,6563,290.3385944,7069.3054047,arable,1920,false,"List(rice, soybean, rice, soybean, wheat)",2009-09-21 11:33:16-01:00,2010-10-20 20:21:35-09:00
b36cf476-23ea-45e7-b48d-bf9de4aa1fc0,Hauck Group,Benny Langworth,DELHI,HO97,26241,910.5144058,786.6649592,dairy,1980,true,"List(corn, wheat, rice, corn, wheat)",2001-05-14 17:19:06-09:00,2019-03-04 14:37:57+09:00
4024fb7a-8ff2-4e13-94b2-f154eda553c4,Effertz-Nader,Val Schultz Jr.,BIHAR,il07,32223,146.4869322,2792.5657605,arable,1993,false,List(rice),2030-07-15 23:51:55+12:00,2029-02-20 04:27:31+12:00
48a54888-e79e-448a-8079-92785a268980,Kling Group,Hildegard Cronin IV,BIHAR,Qt99,23612,844.3582537,901.5978400,arable,1908,false,"List(corn, corn, rice, soybean, rice)",2002-02-08 03:28:07+11:00,2029-04-20 14:04:30-11:00
e8456e30-389b-4653-9e3d-cf29920ad9ec,Kassulke Inc,Abraham White,ASSAM,gC15,5312,386.7697145,5312.8554931,arable,1947,true,"List(rice, wheat, rice)",2014-04-17 04:49:02+02:00,2000-09-03 13:05:31-02:00
86a12cf2-9074-4a93-b5c6-576626263c80,"Bailey, Lakin and Zemlak",Jessie Kuphal Sr.,DELHI,MK07,12712,251.3206283,5800.9321217,arable,1910,true,"List(soybean, soybean, rice, soybean)",2022-09-03 14:38:49-05:00,2026-06-13 19:43:06+02:00
43d50e20-1205-40c1-a36b-2c6ea9d185e1,"Ankunding, Barrows and Wisoky",Shante Buckridge Sr.,BIHAR,rz73,15753,73.2078856,6956.7627735,dairy,2001,true,"List(wheat, rice, rice, rice, soybean)",2029-11-16 12:12:38+06:00,2022-09-08 08:16:53-05:00
68a40ffb-695a-4ab8-a53b-8dff5d63cb53,Cronin LLC,Ronny Balistreri,BIHAR,UA94,8287,533.5597590,1807.8701777,arable,1992,false,"List(wheat, corn, rice, wheat, corn)",2026-04-30 14:25:14+05:00,2003-12-12 08:04:05-08:00
0ce56d08-a2df-4311-a79b-aa892227d1d6,"Stamm, Von and Wolff",Phillip Kemmer,MAHARASTRA,fG29,15220,205.7025944,5590.4222524,dairy,2017,true,"List(corn, soybean, wheat, rice, rice)",2021-01-30 03:30:43+12:00,2027-08-17 18:41:27+12:00
3d88c475-f4c3-49d8-a50f-3f5fab943ffd,Connelly-Wyman,Sally Rowe,BIHAR,GH47,18225,6.8436372,8081.5692456,hobby,1964,true,List(wheat),2006-03-14 05:22:45+14:00,2030-01-30 13:03:37+12:00
a8513779-71f3-4d3c-8876-a65506842fd1,Jacobs-Berge,Isaias Jaskolski,BIHAR,hn79,25132,752.1339354,5017.8084220,dairy,1915,false,"List(rice, corn)",2028-01-08 17:13:34+05:00,2009-03-02 06:01:02-10:00
b0e2ce9e-8aec-48fb-98c2-9dd64bd172ed,Stanton-Wilderman,Amy Von V,DELHI,fQ43,32703,247.8510110,6158.3580407,hobby,1936,true,"List(rice, corn)",2030-07-30 14:18:19+09:00,2006-02-16 20:07:10+14:00
2e27a721-d4c5-48f8-b45b-6994302504c9,Leuschke-McLaughlin,Charisse Kiehn,KERALA,Mc30,2065,704.8687029,3063.7945859,hobby,1922,true,"List(corn, soybean)",2024-11-04 03:52:48+10:00,2022-11-05 07:55:24+04:00
38f7fb9b-b1a4-48f0-a0b8-d221f4de49a8,Rowe-Barrows,Jeffry Pfeffer,BIHAR,jV47,7289,44.1858803,5320.4797991,hobby,1963,false,"List(soybean, wheat, wheat, corn)",2000-07-10 19:21:37+11:00,2003-11-08 02:21:33-01:00
98645a16-7395-4821-99cd-216c26b8cffe,Cronin and Sons,Jude Wisoky III,KERALA,BF07,18388,526.5683600,8282.8356667,dairy,1963,true,"List(corn, corn)",2005-07-01 02:33:17+04:00,2014-02-15 01:11:15-06:00
faa5c432-85aa-49e7-84ac-33a163c636b7,"Ritchie, McLaughlin and Effertz",Angel Douglas, GOA,Nz46,30595,755.6120276,6142.3885394,arable,2020,true,"List(rice, corn, rice, rice, corn)",2001-05-11 22:00:23+13:00,2009-09-14 10:49:07+02:00
834b4cc7-f560-4361-ac7f-9ebedb284871,"Carter, Yundt and Berge",Brant Will,BIHAR,ra85,28785,18.7643196,16.5208922,arable,1978,false,"List(rice, corn, rice, soybean)",2027-01-22 16:35:17+05:00,2021-05-09 06:38:30+12:00
6ab90593-5244-44a0-b979-f9f7c76d8862,"Renner, Bednar and Ortiz",Mike Price DDS,DELHI,EB82,4713,472.8157696,8623.1570200,arable,1980,false,"List(wheat, soybean, wheat, soybean, rice)",2001-05-30 03:26:53+13:00,2001-03-20 22:45:29+13:00
