operation_id,field_id,crop_id,operation_type,operation_date,operation_timestamp,equipment_used,operator_name,input_material_name,input_quantity,input_unit,cost_per_unit,total_cost,application_rate,weather_conditions,field_conditions,notes,created_timestamp
3fe8643e-bf18-485e-baff-44eed72b6d88,41d5065f-6cfc-4d2d-bec5-ffb83dc6d4ec,66825,harvest,2009-11-19,2007-07-10 05:56:55-10:00,"Doubt that the sun doth move, doubt truth to be a liar, but never doubt I love.",Ardith Keebler,In my mind's eye.,994,kg,4271.98,6917.72,3.5903,rainy,fertile,"Conscience is but a word that cowards use, devised at first to keep the strong in awe.",2000-04-12 02:43:40-07:00
e6a3f26c-5689-4afb-b40a-2b792685f68e,680dacaf-2612-4b98-bd92-319cfe40ab71,66826,fertilize,2004-12-21,2014-11-22 22:03:28-01:00,True is it that we have seen better days.,Joanie Hermann,"I will speak daggers to her, but use none.",507,kg,2138.59,1736.59,1.0719,snowy,wet,A horse! a horse! my kingdom for a horse!.,2001-07-14 19:00:15+05:00
fa77f0ef-a092-4d81-a903-4d05dc8f9173,ac5e9cb1-e121-4ce2-aaa3-e30e3e7d0f50,66827,fertilize,1999-04-24,2022-09-18 14:21:36-07:00,"Conscience is but a word that cowards use, devised at first to keep the strong in awe.",Belle Waelchi,"And it must follow, as the night the day, thou canst not then be false to any man.",302,liters,5677.37,4117.88,8.7822,snowy,dry,I like this place and willingly could waste my time in it.,2005-02-02 20:57:55-09:00
354184a4-fd6a-48c3-ab2c-a447e7ee8fbc,c58a9354-9376-47d3-ac95-fb79086b9f0d,66828,fertilize,2014-06-20,2010-04-19 04:16:55-05:00,The play 's the thing wherein I'll catch the conscience of the king.,Taina Stark,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.,282,kg,7748.14,3866.27,0.8755,snowy,barren,O! she doth teach the torches to burn bright.,2011-08-16 17:47:53+08:00
6e7b356b-c576-481e-a9b0-2b2b96d4ab16,7d071b15-cee4-4faf-8484-0218600aa844,66829,plant,2008-03-27,2013-11-10 00:45:48-03:00,How bitter a thing it is to look into happiness through another man's eyes!,Ms. Annie Volkman,In my mind's eye.,476,pounds,1728.89,5262.73,4.4514,snowy,barren,"So wise so young, they say, do never live long.",2015-06-09 21:46:03-03:00
5fb0d737-d030-4e1f-9c8b-d6177ee7ec02,87b69031-6963-4218-88c5-3eb49f09ed5b,66830,plant,2011-07-02,2017-07-19 07:47:32-10:00,"A little more than kin, and less than kind.",Vernon Raynor,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!.",468,pounds,5955.57,2998.05,5.9190,cloudy,barren,Rich gifts wax poor when givers prove unkind.,2025-11-03 21:01:57+13:00
970a30fe-702f-4b3f-979f-03345ad53df3,0290cf17-da22-48a8-81ab-82f3b22fa1cb,66831,irrigate,2008-05-18,2006-02-23 01:00:22+01:00,What's in a name? That which we call a rose by any other name would smell as sweet.,Karma Cremin,The king's name is a tower of strength.,75,kg,5967.16,2033.52,2.5013,snowy,dry,Not stepping o'er the bounds of modesty.,2020-08-05 03:55:39-07:00
81330ed8-663e-48af-a3c3-0de227654db7,d92ee5ac-9bc7-420e-9e29-dcfdde09c147,66832,plant,1998-01-15,2026-10-16 15:27:00-07:00,"The lady doth protest too much, methinks.",Tenesha Littel,"Doubt that the sun doth move, doubt truth to be a liar, but never doubt I love.",991,liters,6465.00,3780.60,5.2192,snowy,fertile,"An honest tale speeds best, being plainly told.",2015-11-29 18:12:03+03:00
74ba1288-21b1-42e5-b40b-db45659e3156,a0bd27d7-afde-49a1-b938-d690d599f9fe,66833,harvest,2013-06-10,2017-07-25 10:16:09+11:00,The play 's the thing wherein I'll catch the conscience of the king.,Cornell Will Sr.,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts.",461,kg,6214.39,6454.68,9.7314,sunny,barren,Do you think I am easier to be played on than a pipe?,2025-12-11 18:59:49-11:00
87755a17-26c0-4406-b326-6d51b6c4f6a6,c9c3d433-00e2-4881-a6d3-66f5d7fc5889,66834,harvest,2011-02-26,2004-06-26 19:45:17-03:00,Wisely and slow; they stumble that run fast.,Lilli Mante,"Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry.",469,kg,3081.01,7797.92,2.0747,rainy,wet,"So wise so young, they say, do never live long.",2004-10-24 13:18:33-09:00
e7ab9522-e1a4-48b4-82b5-2191e7aad2b1,f2323af6-84da-4fdb-83a8-a142718e75ce,66835,irrigate,2002-03-22,2011-05-21 14:03:22-05:00,Can one desire too much of a good thing?.,Jerome Jones,The king's name is a tower of strength.,25,kg,3645.90,1901.84,4.7304,cloudy,wet,O! she doth teach the torches to burn bright.,2027-03-21 14:46:50+14:00
4600966d-8c3b-44a1-8a98-be65ffc99354,4de904e4-bd97-4fd7-9fb3-60b6514e320e,66836,fertilize,2004-06-27,2015-05-29 22:14:28-03:00,"O Romeo, Romeo! wherefore art thou Romeo?.",Mr. Gwyneth Olson,"The fool doth think he is wise, but the wise man knows himself to be a fool.",756,pounds,6706.08,6454.15,1.4806,snowy,dry,That it should come to this!.,2024-05-02 02:24:50-07:00
f8872a52-3722-45dc-90ff-368629abbca1,6df66467-3786-4763-9786-2b3ce1666497,66837,harvest,2005-01-13,2026-05-21 13:10:41-12:00,"There is nothing either good or bad, but thinking makes it so.",Trenton Kihn Sr.,"When sorrows come, they come not single spies, but in battalions.",598,liters,4858.44,3413.46,8.0033,snowy,fertile,"The world is grown so bad, that wrens make prey where eagles dare not perch.",2027-03-29 08:57:38+08:00
466593a2-e4be-4d58-802b-0f63219d9b57,af0ceef6-a701-4477-b7ec-f79f3d1e34a8,66838,fertilize,2007-09-06,2009-08-28 13:45:06+10:00,O! she doth teach the torches to burn bright.,Pamella Cormier,"The fool doth think he is wise, but the wise man knows himself to be a fool.",20,kg,1690.85,3082.26,1.4214,cloudy,dry,"An honest tale speeds best, being plainly told.",2030-10-16 12:21:28+06:00
ebc86924-7e5c-458e-a70e-da66d945ef37,5f762a8a-d49f-4313-9cac-32e70a089295,66839,irrigate,2017-01-01,2028-05-12 10:04:38-07:00,The play 's the thing wherein I'll catch the conscience of the king.,Harland Bruen,"Though this be madness, yet there is method in 't.",567,kg,4305.85,9023.44,2.9923,rainy,fertile,Tempt not a desperate man.,2001-11-08 13:46:47-02:00
127b98c6-1991-4175-9c65-8b0fe74c1983,a30e8b6a-9054-4ba3-bfb2-6861bd52fb29,66840,fertilize,2002-12-15,2030-02-21 10:12:50+09:00,"So wise so young, they say, do never live long.",Quentin Rau,The king's name is a tower of strength.,317,pounds,5152.67,4211.82,5.5265,sunny,wet,This above all: to thine own self be true.,2001-07-28 16:40:09+05:00
a826365c-71e5-444f-8161-08b066c90dc9,f5f83c46-691b-4035-8723-2b2e7a3c8cdb,66841,irrigate,2013-05-08,2025-10-29 06:58:07+14:00,I like this place and willingly could waste my time in it.,Merna Hirthe V,It seems she hangs upon the cheek of night like a rich jewel in an Ethiope's ear.,443,kg,7549.61,7105.83,1.0363,snowy,barren,The king's name is a tower of strength.,2015-05-15 21:36:41+12:00
8910cdfb-4e78-4694-9734-631d3d3e6db1,6322306d-da22-40d8-bd21-a4e944d60571,66842,harvest,2006-06-19,2010-08-06 08:43:53+10:00,"There is nothing either good or bad, but thinking makes it so.",Marc Little,Not stepping o'er the bounds of modesty.,374,pounds,9971.77,2926.26,0.2579,rainy,barren,"What a piece of work is man! how noble in reason! how infinite in faculty! in form and moving how express and admirable! in action how like an angel! in apprehension how like a god! the beauty of the world, the paragon of animals! .",2023-07-04 16:27:12-11:00
84ce889d-c2e5-4153-81c8-9f7954b2ded0,5587912e-9149-41d4-b9e0-4fc28f4a5bbb,66843,plant,2019-07-06,2006-08-04 13:28:59+07:00,For ever and a day.,Irvin McKenzie V,Rich gifts wax poor when givers prove unkind.,537,pounds,2001.01,5925.23,3.4291,sunny,dry,"The world is grown so bad, that wrens make prey where eagles dare not perch.",2030-01-25 03:58:05-10:00
7cea7657-cebb-4486-8829-743279fd0e88,21d9d4be-8a94-4ce1-b1fe-9fa101c6cb7c,66844,harvest,2016-12-04,2012-06-10 10:51:30+11:00,"O Romeo, Romeo! wherefore art thou Romeo?.",Tabitha Batz,"Conscience is but a word that cowards use, devised at first to keep the strong in awe.",104,kg,9061.82,3971.58,1.0492,cloudy,fertile,"So wise so young, they say, do never live long.",2020-12-03 14:54:36-07:00
73c8bfcb-f168-41a8-8439-93c7fffedcc6,1e8ae31e-1e76-4df8-ba9f-b0c535e8785b,66845,fertilize,2007-08-05,2024-02-25 13:59:34-01:00,In my mind's eye.,Sydney Langosh IV,"All the world 's a stage, and all the men and women merely players. They have their exits and their entrances; And one man in his time plays many parts.",524,liters,8967.71,3116.13,0.9602,cloudy,dry,"See, how she leans her cheek upon her hand! O that I were a glove upon that hand, that I might touch that cheek!.",2006-01-06 16:31:51-06:00
